,Kode,Asal Daerah,Nama,Usia,Tinggi,Massa,IQ,Kategori,kategori_angka
0,1,Aceh,Bob,29,146,116,99,KURUS,0.0
1,2,Sumatra Utara,Charlie,35,135,34,110,GEMUK,2.0
2,3,Jawa Timur,Dilan,16,177,41,104,GEMUK,2.0
3,4,Bali,Edy,19,187,105,94,KURUS,0.0
4,5,Jakarta Selatan,Frans,19,162,57,127,GEMUK,2.0
5,6,Aceh,Grace,12,130,102,129,KURUS,0.0
6,7,Sumatra Utara,Halimah,23,150,39,93,GEMUK,2.0
7,8,Jawa Timur,Insana,21,198,37,123,GEMUK,2.0
8,9,Bali,Jack,22,185,27,102,GEMUK,2.0
9,10,Jakarta Selatan,Ken,37,165,70,105,IDEAL,1.0
10,11,Aceh,Lola,38,159,76,114,IDEAL,1.0
11,12,Sumatra Utara,Mellow,14,120,71,105,KURUS,0.0
12,13,Jawa Timur,Nas,32,138,107,121,KURUS,0.0
13,14,Bali,Odelia,24,189,43,128,GEMUK,2.0
14,15,Jakarta Selatan,Paul,35,146,97,115,KURUS,0.0
15,16,Aceh,Qori,36,140,89,97,KURUS,0.0
16,17,Sumatra Utara,Rasputin,16,163,72,124,IDEAL,1.0
17,18,Jawa Timur,Tom,35,122,89,99,KURUS,0.0
18,19,Bali,Uvwevwe,21,165,73,112,IDEAL,1.0
19,20,Jakarta Selatan,Vina,21,182,90,108,IDEAL,1.0
20,21,Aceh,Winry,15,196,93,126,IDEAL,1.0
21,22,Sumatra Utara,Xaverius,39,174,82,90,IDEAL,1.0
22,23,Jawa Timur,Yahya,17,191,107,121,KURUS,0.0
23,24,Bali,Zizi,23,143,96,94,KURUS,0.0
24,25,Jakarta Selatan,Arthur,14,150,50,110,?,
